rank,molport_number,smiles,combined_score,boltz_prob_mean,boltz_pred_value_mean,passes_confidence,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
79,MolPort-039-052-320,C[C@@H]1CC[C@@]2(O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@H]1C3,999.0,0.1785692870616912,1.475819965203603,False,222.372,16,16,3.6098000000000026,1,1,0,False
80,MolPort-035-706-094,OCC[C@@]1(O)CC[C@H](O)CC1,999.0,0.5169407725334167,1.3266982038815816,False,160.21299999999997,11,11,0.0347999999999997,3,3,2,False
81,MolPort-039-142-006,CC(C)=CCc1c(O)cc(O)c2C(=O)[C@H](O)[C@H](Oc12)c1ccccc1,999.0,0.4912569622198741,0.6426189541816711,False,340.37500000000006,25,25,3.283800000000002,3,5,3,False
82,MolPort-039-338-249,COc1c2C[C@@H](COc2cc2OC(C)(C)C=Cc12)c1ccc(O)cc1O,999.0,0.5121070742607117,-0.4227369924386342,False,354.40200000000004,26,26,4.009300000000005,2,5,2,False
83,MolPort-039-338-250,CC(=O)O[C@@H]([C@@H](O)[C@H]1CC=CC(=O)O1)c1ccccc1,999.0,0.5299536089102427,1.2267576456069946,False,276.28799999999995,20,20,1.5234,1,5,4,False
84,MolPort-039-338-313,C[C@@]12CCC[C@](C)([C@H]1CC[C@@]13C[C@@H](CC[C@@H]21)C(CO)=C3)C(O)=O,999.0,0.1474967300891876,1.0434645613034566,False,318.457,23,23,4.012500000000003,2,2,2,False
85,MolPort-039-338-352,C\C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OC[C@H]2CCN3CC[C@@H](OC1=O)[C@@H]23,999.0,0.0834127689401308,1.1614543199539185,False,337.41600000000005,24,24,1.2727,1,6,0,False
86,MolPort-039-338-353,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,999.0,0.1288374662399292,1.1989426612854004,False,472.7100000000003,34,34,6.204400000000006,3,3,1,False
87,MolPort-039-338-489,C[C@@H]1C[C@@H]2[C@H](C3C=C(C)[C@@H](OC(=O)c4ccccc4)[C@]4(O)[C@@H](OC(C)=O)C(C)=CC14C3=O)C2(C)C,999.0,0.1583396072189013,0.1026382148265838,False,478.5850000000003,35,35,4.278300000000003,1,6,3,False
88,MolPort-039-338-554,COc1cc(O)c(cc1C\C=C(/C)CCC=C(C)C)-c1cc2ccc(O)cc2o1,999.0,0.3223951756954193,1.0709887941678364,False,392.4950000000001,29,29,6.754800000000007,2,4,7,False
89,MolPort-039-338-579,CC(C)=CCC\C(C)=C\Cc1c(O)ccc(C2CC(=O)c3c(O)cc(O)cc3O2)c1O,999.0,0.4465826650460561,-0.1168707683682441,False,424.49300000000017,31,31,5.450700000000007,4,6,6,False
90,MolPort-039-338-682,COC(=O)[C@@]1(O)C[C@@H](O)[C@H](O)[C@@H](C1)OC(=O)\C=C\c1ccc(O)c(OC)c1,999.0,0.5001999139785767,0.9599013527234396,False,382.3650000000001,27,27,-0.2545000000000008,4,9,5,False
91,MolPort-039-338-702,CC(C)=CCCC1(C)Oc2c(ccc(O)c2C=C1)-c1oc2cc(O)cc(O)c2c(=O)c1CC=C(C)C,999.0,0.3862047294775645,0.6348434885342916,False,488.5800000000003,36,36,6.996200000000008,3,6,6,False
92,MolPort-039-338-729,CCCCCC(CC(CCc1ccc(O)c(OC)c1)OC(C)=O)OC(C)=O,999.0,0.2008240520954132,0.8152785897254944,False,380.48100000000017,27,27,4.167200000000004,1,6,12,False
93,MolPort-039-338-857,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](OC(=O)\C=C/c6ccc(O)cc6)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,999.0,0.1315808445215225,1.2578210830688477,False,618.8550000000001,45,45,8.17430000000001,3,5,4,False
94,MolPort-039-338-907,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1C=CCC2(C)C,999.0,0.2935805320739746,0.8863705396652222,False,294.35,22,22,3.523900000000002,0,3,0,True
95,MolPort-039-338-931,COc1cc2[C@H](OC(=O)c3ccccc3)[C@@H](C)[C@@H](C)Cc3cc4OCOc4c(OC)c3-c2c(OC)c1OC,999.0,0.2313710326949755,0.8481835126876831,False,520.5780000000004,38,38,5.843100000000007,0,8,6,False
96,MolPort-039-052-623,COc1c(O)c2CCCC[C@@H](O)CCc3ccc(O)c(c3)-c(c2)c1OC,999.0,0.2919788062572479,1.8631551663080848,False,358.4340000000001,26,26,3.8019000000000034,3,5,2,False
97,MolPort-039-338-941,CC(C)=CCC[C@]1(C)Oc2c(CC=C(C)C)c3O[C@@]45C6C[C@@H]([C@H](O)[C@H]4C(=O)c3c(O)c2C=C1)C(=O)C5(C\C=C(/C)C(O)=O)OC6(C)C,999.0,0.5184840460618337,0.3574056625366211,False,646.7770000000003,47,47,6.290000000000008,3,8,8,False
98,MolPort-044-181-074,COC(=O)[C@@H]1C[C@]23CCCN4CC[C@]5([C@H]24)c2ccccc2N(C(C)=O)[C@]15CC3,999.0,0.0963123142719268,2.0015769004821777,False,380.48800000000017,28,28,2.8709000000000016,0,4,1,False
99,MolPort-044-637-532,CC(C)C12CCC(C)(O1)C(CC\C(C)=C/CC\C(C)=C\C2)OC(C)=O,999.0,0.1401885325709978,1.6719577709833782,False,348.5270000000001,25,25,5.738700000000006,0,3,2,False
100,MolPort-044-754-125,COc1cc2O[C@]3(Oc4cc(O)c(C)c(OC)c4[C@H](C3O)c2c2O[C@@H](CCc12)c1ccccc1)c1ccccc1,999.0,0.2698857237895329,0.1927071213722229,False,538.5960000000003,40,40,5.914720000000006,2,7,4,False
