molecule_chembl_id,activity_value_nm,activity_type,relation,smiles,heavy_atoms
CHEMBL420105,8.0,Ki,=,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)Nc1ccc2nc(S(N)(=O)=O)sc2c1.[O-][Cl+3]([O-])([O-])[O-],40
CHEMBL352483,8.0,Ki,=,Cc1cc(-c2ccccc2)cc(C)[n+]1CCc1ccc(S(N)(=O)=O)cc1.[O-][Cl+3]([O-])([O-])[O-],31
CHEMBL348997,8.0,Ki,=,CCN(Cc1cc(=O)oc2cc(Cl)ccc12)C1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,32
CHEMBL86259,8.0,IC50,=,CC(C)(C)N1CC(COc2ccc3cc(S(N)(=O)=O)sc3c2)OC1=O,25
CHEMBL101371,8.2,IC50,=,NS(=O)(=O)c1cc2cc(CNCc3ccccn3)sc2o1,21
CHEMBL3787223,8.25,IC50,=,COc1ccc2c(c1)CCC(NS(=O)(=O)N(C)C)C2,19
CHEMBL1095884,8.29,IC50,=,NS(=O)(=O)c1ccc(Sc2c(F)c(F)cc(F)c2F)nc1,21
CHEMBL543561,8.4,IC50,=,Cl.NS(=O)(=O)c1cc2cc(CNC(CO)CO)sc2s1,20
CHEMBL3786448,8.66,IC50,=,COc1ccc2c(c1)CC(NS(=O)(=O)N(C)C)CC2,19
CHEMBL314803,8.8,IC50,=,NS(=O)(=O)c1cc2ccc(O)cc2s1,14
CHEMBL87939,8.8,IC50,=,COc1ccc2cc(S(N)(=O)=O)sc2c1,15
CHEMBL555889,8.8,IC50,=,CN(C)CCNC(=O)c1cc2cc(S(N)(=O)=O)sc2s1.Cl,21
CHEMBL544355,9.0,IC50,=,CC(C)CCNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1.Cl,25
CHEMBL541080,9.0,IC50,=,CN(C)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,24
CHEMBL3137808,9.0,Ki,=,C[C@H](CCC(=O)Nc1c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c1Cl)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,45
CHEMBL102705,9.0,Ki,=,Cc1cc(C)[n+](CC(=O)Nc2ccc3nc(S(N)(=O)=O)sc3c2)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],31
CHEMBL122708,9.0,IC50,=,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,24
CHEMBL14182,9.0,Ki,=,Nc1ccc(S(=O)(=O)Nc2cccc(S(N)(=O)=O)c2)cc1,21
CHEMBL23579,9.0,Ki,=,CC(C)(C)C(=O)Nc1nnc(S(N)(=O)=O)s1,16
CHEMBL73962,9.0,Ki,=,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,19
CHEMBL322589,9.0,Ki,=,CC(C)(C)OC(=O)Nc1nnc(S(N)(=O)=O)s1,17
CHEMBL83589,9.0,IC50,=,COCc1ccc2sc(S(N)(=O)=O)cc2c1,16
CHEMBL87179,9.0,IC50,=,NS(=O)(=O)c1cc2cc(CO)ccc2s1,15
CHEMBL30168,9.0,Ki,=,NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2ccc(S(N)(=O)=O)cc2I)CC(=O)O)CC(=O)O)c(I)c1,49
CHEMBL171589,9.0,Ki,=,CCc1cc(-c2ccccc2)cc(CC)[n+]1CCc1ccc(S(N)(=O)=O)cc1.[O-][Cl+3]([O-])([O-])[O-],33
CHEMBL140428,9.0,Ki,=,NS(=O)(=O)c1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1,26
CHEMBL105607,9.0,IC50,=,NS(=O)(=O)c1ccc(SCCCO)c(Cl)c1,16
CHEMBL107266,9.0,IC50,=,NS(=O)(=O)c1ccc(SCCO)c(F)c1,15
CHEMBL102401,9.0,Ki,=,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)Nc1nnc(S(N)(=O)=O)s1.[O-][Cl+3]([O-])([O-])[O-],36
CHEMBL103087,9.0,IC50,=,CNCc1cc2cc(S(N)(=O)=O)oc2s1,15
CHEMBL321052,9.0,Ki,=,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1ccc(S(=O)(=O)Nc2cccc(S(N)(=O)=O)c2)cc1.[O-][Cl+3]([O-])([O-])[O-],43
CHEMBL544127,9.0,IC50,=,CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,26
CHEMBL305726,9.0,Ki,=,NS(=O)(=O)c1ccc(CCNS(=O)(=O)c2c(F)c(F)cc(F)c2F)cc1,26
CHEMBL35118,9.0,Ki,=,Nc1ccc2nc(S(N)(=O)=O)sc2c1,14
CHEMBL421767,9.0,Ki,=,NC(=O)CCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O,23
CHEMBL298110,9.0,Ki,=,NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,34
CHEMBL32208,9.0,Ki,=,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c2Cl)CC(=O)O)CC(=O)O)c(Cl)c1Cl,59
CHEMBL51346,9.0,Ki,=,CC(C)C[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)NCC(=O)O,25
CHEMBL164126,9.0,IC50,=,Nc1ccc2oc(S(N)(=O)=O)cc2c1,14
CHEMBL107537,9.0,IC50,=,NS(=O)(=O)c1ccc(SCCCCO)cc1,16
CHEMBL111504,9.0,Ki,=,CCCC(CCC)C(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1,24
CHEMBL2112276,9.0,Ki,=,NS(=O)(=O)c1ccc(CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCc2ccc(S(N)(=O)=O)cc2)CC(=O)[O-])CC(=O)[O-])cc1.[Zn+2],50
CHEMBL23922,9.0,Ki,=,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,21
